,Unnamed: 0,level_0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
96705,96705,29711,3333,SI,2019-09-22,92.0,-2.0318,5.4898,Logan Webb,455976.0,657277.0,field_out,hit_into_play,,,,,5.0,Nick Markakis flies out to left fielder Joey Rickard.  ,R,L,R,ATL,SF,X,7.0,fly_ball,2.0,2.0,2019.0,-1.3017,0.5008,-0.0945,2.5128,,,,2.0,6.0,Bot,68.75,96.1,,,605244.0,,190922_191727,7.6782,-133.8354,-2.8181,-17.13,26.5596,-25.8192,3.36,1.62,279.0,90.2,49.6,91.98700000000001,1977.0,6.117000000000001,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.3822,0.005,0.006999999999999999,0.0,1.0,0.0,0.0,3.0,49.0,8.0,Sinker,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96706,96706,29712,3335,CH,2019-09-22,84.6,-2.1861,5.3625,Logan Webb,455976.0,657277.0,,foul,,,,,9.0,,R,L,R,ATL,SF,S,,,2.0,2.0,2019.0,-1.0046,0.0394,0.6481,1.6728,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191650,8.6518,-122.9872,-2.3107,-11.9883,25.0066,-31.5149,3.5,1.66,130.0,106.5,6.5,84.77,1711.0,6.51,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,53.9892,,,,,,,,49.0,7.0,Changeup,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96707,96707,29713,3357,CH,2019-09-22,84.5,-2.229,5.3601,Logan Webb,455976.0,657277.0,,ball,,,,,14.0,,R,L,R,ATL,SF,B,,,1.0,2.0,2019.0,-1.0866,0.053,0.3364,1.0267,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191627,8.1945,-122.8424,-3.8149,-12.7444,25.4882,-31.0568,3.4929,1.66,,,,84.693,1746.0,6.575,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,53.9241,,,,,,,,49.0,6.0,Changeup,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96708,96708,29714,3367,SL,2019-09-22,81.6,-1.9623,5.5407,Logan Webb,455976.0,657277.0,,foul,,,,,9.0,,R,L,R,ATL,SF,S,,,1.0,2.0,2019.0,0.5842,-0.3636,0.4461,1.8008,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191555,4.2854,-118.8084,-1.1583,4.6571,22.2986,-35.5864,3.5,1.66,17.0,97.4,-6.8,81.19800000000001,2640.0,5.938,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.5613,,,,,,,,49.0,5.0,Slider,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Strategic,Standard
96709,96709,29715,3390,FF,2019-09-22,92.9,-1.8153,5.5852,Logan Webb,455976.0,657277.0,,ball,,,,,12.0,,R,L,R,ATL,SF,B,,,0.0,2.0,2019.0,-0.4667,1.0638,0.2462,4.6782,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191532,6.2915,-135.2093,1.1335,-7.0661,29.2434,-19.6334,3.6111,1.6643,,,,92.869,2067.0,6.242999999999999,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.2569,,,,,,,,49.0,4.0,4-Seam Fastball,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Strategic,Standard
96710,96710,29716,3402,FF,2019-09-22,93.5,-1.8908,5.5276,Logan Webb,455976.0,657277.0,,foul,,,,,2.0,,R,L,R,ATL,SF,S,,,0.0,2.0,2019.0,-0.4585,1.1208,0.2395,3.4905,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191506,6.5306,-135.9432,-1.9321,-7.2469,32.7625,-18.0666,3.5,1.66,,,,93.426,2177.0,6.518,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,53.9816,,,,,,,,49.0,3.0,4-Seam Fastball,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96711,96711,29717,3418,SL,2019-09-22,82.3,-2.0091,5.4947,Logan Webb,455976.0,657277.0,,foul,,,,,14.0,,R,L,R,ATL,SF,S,,,0.0,1.0,2019.0,0.8537,-0.0554,0.6609999999999999,1.2692,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191438,4.3885,-119.5793,-2.8297,7.0396,26.0899,-32.3415,3.5,1.66,,,,81.236,2453.0,5.95,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.5496,,,,,,,,49.0,2.0,Slider,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96712,96712,29718,3439,SL,2019-09-22,81.9,-2.0772,5.4824,Logan Webb,455976.0,657277.0,,called_strike,,,,,5.0,,R,L,R,ATL,SF,S,,,0.0,0.0,2019.0,0.9579,-0.1169,0.0085,2.8128,,,,2.0,6.0,Bot,,,,,605244.0,,190922_191421,2.8628,-119.0838,0.8351,8.3069,25.6205,-33.7031,3.6201,1.685,,,,81.018,2515.0,6.006,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.4935,,,,,,,,49.0,1.0,Slider,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,Standard,Standard
96713,96713,29719,3441,FF,2019-09-22,93.0,-1.8461,5.5342,Logan Webb,518692.0,657277.0,field_out,hit_into_play_score,,,,,5.0,"Freddie Freeman grounds out, second baseman Mauricio Dubon to first baseman Austin Slater.   Adeiny Hechavarria scores.  ",R,L,R,ATL,SF,X,4.0,ground_ball,3.0,2.0,2019.0,-0.8669,0.9025,-0.0264,2.7089999999999996,588751.0,,,1.0,6.0,Bot,165.3,147.0,,,605244.0,,190922_191335,6.5949,-135.3223,-3.4773,-12.1151,28.6957,-20.4815,3.53,1.73,46.0,97.6,-1.0,93.417,2157.0,6.475,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.0246,0.418,0.379,0.0,1.0,0.0,0.0,2.0,48.0,8.0,4-Seam Fastball,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,Strategic,Standard
96714,96714,29720,3467,FF,2019-09-22,95.0,-1.7983,5.6242,Logan Webb,518692.0,657277.0,,foul,,,,,3.0,,R,L,R,ATL,SF,S,,,3.0,2.0,2019.0,-0.6297,1.1604,0.3572,3.1158,588751.0,,,1.0,6.0,Bot,,,,,605244.0,,190922_191302,7.0835,-138.3187,-3.57,-9.6296,28.9454,-16.6099,3.53,1.73,,,,95.57700000000001,2263.0,6.452999999999999,567247.0,657277.0,605244.0,596103.0,643289.0,446334.0,543063.0,572073.0,607680.0,573262.0,54.0466,,,,,,,,48.0,7.0,4-Seam Fastball,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,Strategic,Standard
